Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Assembly of Viral Components at the Budding Site	1/6	0.000599909243874975	0.00166625369624642	0	0	3998.6	29664.5424725458		Reactome_Pathways_2024
Budding	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Packaging of Eight RNA Segments	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Uncoating of the Influenza Virion	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Fusion and Uncoating of the Influenza Virion	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Release	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Fusion of the Influenza Virion to the Host Cell Endosome	1/8	0.000799840583808171	0.00166625369624642	0	0	2855.85714285714	20365.3975035397		Reactome_Pathways_2024
Entry of Influenza Virion Into Host Cell via Endocytosis	1/10	0.00099975221774785	0.00166625369624642	0	0	2221	15342.6748671929		Reactome_Pathways_2024
Virus Assembly and Release	1/10	0.00099975221774785	0.00166625369624642	0	0	2221	15342.6748671929		Reactome_Pathways_2024
Viral mRNA Translation	1/102	0.0101741403705207	0.015261210555781	0	0	197	903.817489031364		Reactome_Pathways_2024
Influenza Viral RNA Transcription and Replication	1/149	0.014844739492982	0.0202428265813391	0	0	134.121621621622	564.666742769417		Reactome_Pathways_2024
Influenza Infection	1/169	0.0168288797639879	0.0210360997049848	0	0	118.035714285714	482.135623184892		Reactome_Pathways_2024
