Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Translesion Synthesis by REV1	2/16	0.00060839451471309	0.0325005009367603	0	0	64.7402597402598	479.381360552019	RFC2;RPA1	Reactome_Pathways_2024
Translesion Synthesis by POLI	2/17	0.000688505054220343	0.0325005009367603	0	0	60.4212121212121	439.926114291837	RFC2;RPA1	Reactome_Pathways_2024
Translesion Synthesis by POLK	2/17	0.000688505054220343	0.0325005009367603	0	0	60.4212121212121	439.926114291837	RFC2;RPA1	Reactome_Pathways_2024
G2 M DNA Damage Checkpoint	3/77	0.000739367268223214	0.0325005009367603	0	0	18.7429289754871	135.131190806711	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
Processing of DNA Double-Strand Break Ends	3/80	0.00082644651112581	0.0325005009367603	0	0	18.0099667774086	127.841504409492	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
Translesion Synthesis by POLH	2/19	0.00086316316294798	0.0325005009367603	0	0	53.3074866310161	376.07935098604	RFC2;RPA1	Reactome_Pathways_2024
Lagging Strand Synthesis	2/20	0.000957667561741791	0.0325005009367603	0	0	50.3434343434344	349.93770815567	RFC2;RPA1	Reactome_Pathways_2024
PCNA-Dependent Long Patch Base Excision Repair	2/21	0.00105692685973204	0.0325005009367603	0	0	47.6913875598086	326.79997625955	RFC2;RPA1	Reactome_Pathways_2024
Resolution of AP Sites via the Multiple-Nucleotide Patch Replacement Pathway	2/25	0.00150108587236456	0.0369267124601681	0	0	39.3893280632411	256.09233649714	RFC2;RPA1	Reactome_Pathways_2024
Gap-filling DNA Repair Synthesis and Ligation in GG-NER	2/25	0.00150108587236456	0.0369267124601681	0	0	39.3893280632411	256.09233649714	RFC2;RPA1	Reactome_Pathways_2024
Recognition of DNA Damage by PCNA-containing Replication Complex	2/30	0.00216072110031469	0.0379234811495925	0	0	32.3474025974026	198.52614321951	RFC2;RPA1	Reactome_Pathways_2024
HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	3/116	0.00240657661357143	0.0379234811495925	0	0	12.2500514509158	73.862298137829	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
Termination of Translesion DNA Synthesis	2/32	0.00245652849801707	0.0379234811495925	0	0	30.1878787878788	181.399147944156	RFC2;RPA1	Reactome_Pathways_2024
DNA Strand Elongation	2/32	0.00245652849801707	0.0379234811495925	0	0	30.1878787878788	181.399147944156	RFC2;RPA1	Reactome_Pathways_2024
Telomere C-strand (Lagging Strand) Synthesis	2/34	0.00277034603529712	0.0379234811495925	0	0	28.2982954545455	166.642522449521	RFC2;RPA1	Reactome_Pathways_2024
Homology Directed Repair	3/122	0.00277647963250917	0.0379234811495925	0	0	11.6288841117842	68.4542574750268	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
Impaired BRCA2 Binding to RAD51	2/35	0.00293395717564307	0.0379234811495925	0	0	27.4393939393939	160.010169494268	RFC2;RPA1	Reactome_Pathways_2024
Activation of ATR in Response to Replication Stress	2/37	0.00327448192970891	0.0379234811495925	0	0	25.8688311688312	148.010990898239	RFC2;RPA1	Reactome_Pathways_2024
HDR Through Single Strand Annealing (SSA)	2/37	0.00327448192970891	0.0379234811495925	0	0	25.8688311688312	148.010990898239	RFC2;RPA1	Reactome_Pathways_2024
Resolution of Abasic Sites (AP Sites)	2/38	0.00345135483406612	0.0379234811495925	0	0	25.1489898989899	142.569332499524	RFC2;RPA1	Reactome_Pathways_2024
Translesion Synthesis by Y Family DNA Polymerases Bypasses Lesions on DNA Template	2/39	0.0036326077287654	0.0379234811495925	0	0	24.468058968059	137.456771924781	RFC2;RPA1	Reactome_Pathways_2024
Presynaptic Phase of Homologous DNA Pairing and Strand Exchange	2/40	0.00381822042610321	0.0379234811495925	0	0	23.822966507177	132.645582404249	RFC2;RPA1	Reactome_Pathways_2024
G2 M Checkpoints	3/137	0.00384894781541903	0.0379234811495925	0	0	10.3193335647345	57.3750350249847	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
Defective Homologous Recombination Repair (HRR) Due to BRCA2 Loss of Function	2/41	0.00400817280442848	0.0379234811495925	0	0	23.2109557109557	128.111008557024	RFC2;RPA1	Reactome_Pathways_2024
Diseases of DNA Double-Strand Break Repair	2/41	0.00400817280442848	0.0379234811495925	0	0	23.2109557109557	128.111008557024	RFC2;RPA1	Reactome_Pathways_2024
Dual Incision in GG-NER	2/41	0.00400817280442848	0.0379234811495925	0	0	23.2109557109557	128.111008557024	RFC2;RPA1	Reactome_Pathways_2024
Homologous DNA Pairing and Strand Exchange	2/43	0.00440101644467439	0.0400981498292556	0	0	22.0764966740577	119.785299415764	RFC2;RPA1	Reactome_Pathways_2024
DNA Double-Strand Break Repair	3/152	0.00514343304197268	0.0451887331544743	0	0	9.27345091306384	48.8714063893363	BABAM1;RFC2;RPA1	Reactome_Pathways_2024
DNA Damage Bypass	2/48	0.00545767408254977	0.0462961318726635	0	0	19.6719367588933	102.505201627682	RFC2;RPA1	Reactome_Pathways_2024
Regulation of TP53 Activity	3/160	0.00592883970668341	0.0472166184689878	0	0	8.79736335357725	45.1122348711133	RFC2;RPA1;MTA2	Reactome_Pathways_2024
Extension of Telomeres	2/51	0.00614199915043744	0.0472166184689878	0	0	18.4647495361781	94.033675724603	RFC2;RPA1	Reactome_Pathways_2024
Diseases of DNA Repair	2/51	0.00614199915043744	0.0472166184689878	0	0	18.4647495361781	94.033675724603	RFC2;RPA1	Reactome_Pathways_2024
Potential Therapeutics for SARS	3/164	0.00634702740709162	0.0473142043074103	0	0	8.57706196735519	43.3979496850986	CD79A;MTA2;JAK3	Reactome_Pathways_2024
Gap-filling DNA Repair Synthesis and Ligation in TC-NER	2/62	0.00896469642564332	0.0648622153149487	0	0	15.0712121212121	71.0526422906807	RFC2;RPA1	Reactome_Pathways_2024
Dual Incision in TC-NER	2/63	0.00924516253387061	0.064980285238062	0	0	14.8233979135619	69.4276792877148	RFC2;RPA1	Reactome_Pathways_2024
HDR Through Homologous Recombination (HRR)	2/69	0.0110090997812215	0.0752288485050136	0	0	13.4918588873813	60.8352382407309	RFC2;RPA1	Reactome_Pathways_2024
Base Excision Repair	2/71	0.0116275474889794	0.0773074778997009	0	0	13.0994729907773	58.3500070876981	RFC2;RPA1	Reactome_Pathways_2024
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	2/76	0.0132389362062664	0.0835071360702954	0	0	12.2113022113022	52.8089130244231	RFC2;RPA1	Reactome_Pathways_2024
Regulation of Endogenous Retroelements by KRAB-ZFP Proteins	2/76	0.0132389362062664	0.0835071360702954	0	0	12.2113022113022	52.8089130244231	ZNF324;MTA2	Reactome_Pathways_2024
Assembly of Viral Components at the Budding Site	1/6	0.0137224751767355	0.0843932223369233	0	0	88.6622222222222	380.247469316315		Reactome_Pathways_2024
Global Genome Nucleotide Excision Repair (GG-NER)	2/84	0.0160064500253645	0.0953831150364751	0	0	11.0155210643016	45.5465745556304	RFC2;RPA1	Reactome_Pathways_2024
Fusion and Uncoating of the Influenza Virion	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Fusion of the Influenza Virion to the Host Cell Endosome	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Budding	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Packaging of Eight RNA Segments	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Uncoating of the Influenza Virion	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Release	1/8	0.0182555843351526	0.0953831150364751	0	0	63.3238095238095	253.503209620118		Reactome_Pathways_2024
Telomere Maintenance	2/92	0.0189990757592979	0.0953831150364751	0	0	10.0323232323232	39.7617582183704	RFC2;RPA1	Reactome_Pathways_2024
Regulation of TP53 Activity Through Phosphorylation	2/92	0.0189990757592979	0.0953831150364751	0	0	10.0323232323232	39.7617582183704	RFC2;RPA1	Reactome_Pathways_2024
Mismatch repair	2/23	0.00126962458036668	0.0520725808308278	0	0	43.1450216450217	287.735617499033	RFC2;RPA1	KEGG_2021_Human
DNA replication	2/36	0.00310200926992981	0.0520725808308278	0	0	26.6310160427808	153.812898528258	RFC2;RPA1	KEGG_2021_Human
Primary immunodeficiency	2/38	0.00345135483406612	0.0520725808308278	0	0	25.1489898989899	142.569332499524	CD79A;JAK3	KEGG_2021_Human
Homologous recombination	2/41	0.00400817280442848	0.0520725808308278	0	0	23.2109557109557	128.111008557024	BABAM1;RPA1	KEGG_2021_Human
Signaling pathways regulating pluripotency of stem cells	3/143	0.00433938173590231	0.0520725808308278	0	0	9.87408637873754	53.715260936014	WNT6;SMAD9;JAK3	KEGG_2021_Human
Nucleotide excision repair	2/47	0.00523790183287352	0.0523790183287352	0	0	20.110101010101	105.614917746693	RFC2;RPA1	KEGG_2021_Human
