Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
BMP Signaling Pathway (GO:0030509)	2/47	0.00240654865400202	0.0787377107383654	0	0	30.5348659003831	184.111856472173	SMAD9;MEGF8	GO_Biological_Process_2025
Cellular Response to BMP Stimulus (GO:0071773)	2/54	0.0031643223277354	0.0787377107383654	0	0	26.4151193633952	152.040576203559	SMAD9;MEGF8	GO_Biological_Process_2025
4-Hydroxyproline Metabolic Process (GO:0019471)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	EGLN2	GO_Biological_Process_2025
mRNA 3'-Splice Site Recognition (GO:0000389)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	SF3A3	GO_Biological_Process_2025
Regulation of Axon Extension Involved in Axon Guidance (GO:0048841)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	MEGF8	GO_Biological_Process_2025
Interleukin-4-Mediated Signaling Pathway (GO:0035771)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	JAK3	GO_Biological_Process_2025
Tyrosine Phosphorylation of STAT Protein (GO:0007260)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	JAK3	GO_Biological_Process_2025
Negative Regulation of T-helper 17 Cell Lineage Commitment (GO:2000329)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	JAK3	GO_Biological_Process_2025
Negative Regulation of Cell Fate Commitment (GO:0010454)	1/5	0.007726694289036	0.0787377107383654	0	0	166.375	809.093962505696	JAK3	GO_Biological_Process_2025
Regulation of T-helper 1 Cell Differentiation (GO:0045625)	1/6	0.00926509224971447	0.0787377107383654	0	0	133.093333333333	623.076634648792	JAK3	GO_Biological_Process_2025
Determination of Digestive Tract Left/Right Asymmetry (GO:0071907)	1/6	0.00926509224971447	0.0787377107383654	0	0	133.093333333333	623.076634648792	MEGF8	GO_Biological_Process_2025
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)	1/6	0.00926509224971447	0.0787377107383654	0	0	133.093333333333	623.076634648792	EDC4	GO_Biological_Process_2025
Regulation of Lymphocyte Apoptotic Process (GO:0070228)	1/6	0.00926509224971447	0.0787377107383654	0	0	133.093333333333	623.076634648792	JAK3	GO_Biological_Process_2025
Regulation of Thymocyte Apoptotic Process (GO:0070243)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Interleukin-2-Mediated Signaling Pathway (GO:0038110)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Interleukin-7-Mediated Signaling Pathway (GO:0038111)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Interleukin-9-Mediated Signaling Pathway (GO:0038113)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Cellular Response to Interleukin-2 (GO:0071352)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Cellular Response to Interleukin-7 (GO:0098761)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Cellular Response to Interleukin-9 (GO:0071355)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	JAK3	GO_Biological_Process_2025
Endonuc Clvg in ITS1 to Sep SSU-rRNA Fm 5.8S rRNA and LSU-rRNA Fm Tricist rRNA Trnscpt (GO:0000447)	1/7	0.0108011827726926	0.0787377107383654	0	0	110.905555555556	502.191405614873	RPS21	GO_Biological_Process_2025
Negative Regulation of Glycoprotein Biosynthetic Process (GO:0010561)	1/8	0.0123349690429112	0.0787377107383654	0	0	95.0571428571429	417.80627965005	JAK3	GO_Biological_Process_2025
Negative Regulation of T Cell Apoptotic Process (GO:0070233)	1/8	0.0123349690429112	0.0787377107383654	0	0	95.0571428571429	417.80627965005	JAK3	GO_Biological_Process_2025
Positive Regulation of DNA-directed DNA Polymerase Activity (GO:1900264)	1/8	0.0123349690429112	0.0787377107383654	0	0	95.0571428571429	417.80627965005	RFC2	GO_Biological_Process_2025
Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	2/114	0.0134452433845677	0.0787377107383654	0	0	12.2272167487685	52.6886651292538	SMAD9;MEGF8	GO_Biological_Process_2025
Response to Interleukin-4 (GO:0070670)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	JAK3	GO_Biological_Process_2025
Interleukin-15-Mediated Signaling Pathway (GO:0035723)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	JAK3	GO_Biological_Process_2025
Negative Regulation of T-helper Cell Differentiation (GO:0045623)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	JAK3	GO_Biological_Process_2025
Formation of Translation Preinitiation Complex (GO:0001731)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	EIF4H	GO_Biological_Process_2025
Cellular Response to Interleukin-15 (GO:0071350)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	JAK3	GO_Biological_Process_2025
rRNA 3'-End Processing (GO:0031125)	1/9	0.01386645428907	0.0787377107383654	0	0	83.1708333333333	355.828338741317	RPS21	GO_Biological_Process_2025
Growth Hormone Receptor Signaling Pathway via JAK-STAT (GO:0060397)	1/10	0.0153956417644848	0.0787377107383654	0	0	73.9259259259259	308.542479281304	JAK3	GO_Biological_Process_2025
Cell Proliferation in Forebrain (GO:0021846)	1/10	0.0153956417644848	0.0787377107383654	0	0	73.9259259259259	308.542479281304	NUMBL	GO_Biological_Process_2025
Negative Regulation of T-helper 17 Cell Differentiation (GO:2000320)	1/10	0.0153956417644848	0.0787377107383654	0	0	73.9259259259259	308.542479281304	JAK3	GO_Biological_Process_2025
Embryonic Appendage Morphogenesis (GO:0035113)	1/10	0.0153956417644848	0.0787377107383654	0	0	73.9259259259259	308.542479281304	MEGF8	GO_Biological_Process_2025
mRNA Methylguanosine-Cap Decapping (GO:0110156)	1/11	0.016922534733464	0.0841426032580571	0	0	66.53	271.383130357804	EDC4	GO_Biological_Process_2025
Regulation of T Cell Apoptotic Process (GO:0070232)	1/12	0.0184471364708874	0.0851078951594024	0	0	60.4787878787879	241.482493848957	JAK3	GO_Biological_Process_2025
Axonal Fasciculation (GO:0007413)	1/12	0.0184471364708874	0.0851078951594024	0	0	60.4787878787879	241.482493848957	MEGF8	GO_Biological_Process_2025
Regulation of T-helper 17 Cell Lineage Commitment (GO:2000328)	1/13	0.0199694502608654	0.0851078951594024	0	0	55.4361111111111	216.952084672946	JAK3	GO_Biological_Process_2025
Negative Regulation of Interleukin-12 Production (GO:0032695)	1/13	0.0199694502608654	0.0851078951594024	0	0	55.4361111111111	216.952084672946	JAK3	GO_Biological_Process_2025
Cellular Response to Interleukin-4 (GO:0071353)	1/13	0.0199694502608654	0.0851078951594024	0	0	55.4361111111111	216.952084672946	JAK3	GO_Biological_Process_2025
Endonucleolytic Clvg of Tricistronic rRNA Trnscpt (GO:0000479)	1/13	0.0199694502608654	0.0851078951594024	0	0	55.4361111111111	216.952084672946	RPS21	GO_Biological_Process_2025
L-amino Acid Metabolic Process (GO:0170033)	1/14	0.0214894793855566	0.0894562048840611	0	0	51.1692307692308	196.499660131609	EGLN2	GO_Biological_Process_2025
Negative Regulation of Cytokine Production Involved in Immune Response (GO:0002719)	1/16	0.0245226967845343	0.0912443707288224	0	0	44.3422222222222	164.427885851853	JAK3	GO_Biological_Process_2025
Negative Regulation of Interleukin-10 Production (GO:0032693)	1/16	0.0245226967845343	0.0912443707288224	0	0	44.3422222222222	164.427885851853	JAK3	GO_Biological_Process_2025
Embryonic Heart Tube Development (GO:0035050)	1/16	0.0245226967845343	0.0912443707288224	0	0	44.3422222222222	164.427885851853	MEGF8	GO_Biological_Process_2025
T Cell Homeostasis (GO:0043029)	1/16	0.0245226967845343	0.0912443707288224	0	0	44.3422222222222	164.427885851853	JAK3	GO_Biological_Process_2025
Gastrulation (GO:0007369)	1/17	0.026035891626597	0.0912443707288224	0	0	41.56875	151.654407895734	MEGF8	GO_Biological_Process_2025
DNA Damage Response (GO:0006974)	3/421	0.0269188881502526	0.0912443707288224	0	0	5.01136363636364	18.1157141020603	BABAM1;RFC2;NCOA6	GO_Biological_Process_2025
Estrogen Receptor Signaling Pathway (GO:0030520)	1/18	0.0275468149406695	0.0912443707288224	0	0	39.121568627451	140.519524554554	EGLN2	GO_Biological_Process_2025
SMAD Protein Signal Transduction (GO:0060395)	1/18	0.0275468149406695	0.0912443707288224	0	0	39.121568627451	140.519524554554	SMAD9	GO_Biological_Process_2025
Regulation of Macromolecule Biosynthetic Process (GO:0010556)	2/170	0.0284238162883414	0.0912443707288224	0	0	8.12848932676519	28.9417128990272	TRIM4;MEGF8	GO_Biological_Process_2025
Heart Development (GO:0007507)	2/171	0.028732795863608	0.0912443707288224	0	0	8.07998367680065	28.6816481097118	NCOA6;MEGF8	GO_Biological_Process_2025
Regulation of Receptor Signaling Pathway via STAT (GO:1904892)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	JAK3	GO_Biological_Process_2025
Positive Regulation of Axon Extension (GO:0045773)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	MEGF8	GO_Biological_Process_2025
