Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
RUNX3 Regulates BCL2L11 (BIM) Transcription	1/5	0.00449229270839297	0.0596715199884098	0	0	293.794117647059	1588.07239728978	SMAD3	Reactome_Pathways_2024
TGFBR1 KD Mutants in Cancer	1/6	0.00538846593898824	0.0596715199884098	0	0	235.023529411765	1227.6441242999	SMAD3	Reactome_Pathways_2024
SMAD2 3 Phosphorylation Motif Mutants in Cancer	1/6	0.00538846593898824	0.0596715199884098	0	0	235.023529411765	1227.6441242999	SMAD3	Reactome_Pathways_2024
Assembly of Viral Components at the Budding Site	1/6	0.00538846593898824	0.0596715199884098	0	0	235.023529411765	1227.6441242999		Reactome_Pathways_2024
RUNX3 Regulates CDKN1A Transcription	1/7	0.0062838777740326	0.0596715199884098	0	0	195.843137254902	992.879272061154	SMAD3	Reactome_Pathways_2024
Loss of Function of SMAD2 3 in Cancer	1/7	0.0062838777740326	0.0596715199884098	0	0	195.843137254902	992.879272061154	SMAD3	Reactome_Pathways_2024
Loss of Function of TGFBR1 in Cancer	1/7	0.0062838777740326	0.0596715199884098	0	0	195.843137254902	992.879272061154	SMAD3	Reactome_Pathways_2024
Regulation of CDH19 Expression and Function	1/7	0.0062838777740326	0.0596715199884098	0	0	195.843137254902	992.879272061154	ZC3H12A	Reactome_Pathways_2024
NFE2L2 Regulates Pentose Phosphate Pathway Genes	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444	TKT	Reactome_Pathways_2024
Fusion and Uncoating of the Influenza Virion	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
Fusion of the Influenza Virion to the Host Cell Endosome	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
Budding	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
Packaging of Eight RNA Segments	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
