Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Assembly of Viral Components at the Budding Site	1/6	0.000299990587310551	0.000833310376263063	0	0	19994	162186.518631879		Reactome_Pathways_2024
Budding	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Packaging of Eight RNA Segments	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Uncoating of the Influenza Virion	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Fusion and Uncoating of the Influenza Virion	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Release	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Fusion of the Influenza Virion to the Host Cell Endosome	1/8	0.000399988324149733	0.000833310376263063	0	0	19992	156418.911416552		Reactome_Pathways_2024
Entry of Influenza Virion Into Host Cell via Endocytosis	1/10	0.000499986225757838	0.000833310376263063	0	0	19990	151942.590868033		Reactome_Pathways_2024
Virus Assembly and Release	1/10	0.000499986225757838	0.000833310376263063	0	0	19990	151942.590868033		Reactome_Pathways_2024
Viral mRNA Translation	1/102	0.00509993224166821	0.00764989836250231	0	0	19898	105032.150647171		Reactome_Pathways_2024
Influenza Viral RNA Transcription and Replication	1/149	0.00744991472216056	0.010158974621128	0	0	19851	97261.0205156122		Reactome_Pathways_2024
Influenza Infection	1/169	0.00844990818466259	0.0105623852308282	0	0	19831	94665.2557179765		Reactome_Pathways_2024
Viral Infection Pathways	1/1029	0.0514497840130919	0.0593651353997215	0	0	18971	56289.7839580095		Reactome_Pathways_2024
Infectious Disease	1/1311	0.0655497679077299	0.0702318941868535	0	0	18689	50926.508495372		Reactome_Pathways_2024
