Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Assembly of Viral Components at the Budding Site	1/6	0.00508974145357057	0.0543451003003729	0	0	249.725	1318.67991590424		Reactome_Pathways_2024
Regulation of CDH19 Expression and Function	1/7	0.00593566199512446	0.0543451003003729	0	0	208.09375	1066.85019229932	ZC3H12A	Reactome_Pathways_2024
Budding	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Packaging of Eight RNA Segments	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Uncoating of the Influenza Virion	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Terminal Pathway of Complement	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938	C7	Reactome_Pathways_2024
Fusion and Uncoating of the Influenza Virion	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Release	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Fusion of the Influenza Virion to the Host Cell Endosome	1/8	0.00678090602009761	0.0543451003003729	0	0	178.357142857143	890.652175215938		Reactome_Pathways_2024
Entry of Influenza Virion Into Host Cell via Endocytosis	1/10	0.00846936628057759	0.0543451003003729	0	0	138.708333333333	661.819014297417		Reactome_Pathways_2024
Calcitonin-like Ligand Receptors	1/10	0.00846936628057759	0.0543451003003729	0	0	138.708333333333	661.819014297417	RAMP3	Reactome_Pathways_2024
Virus Assembly and Release	1/10	0.00846936628057759	0.0543451003003729	0	0	138.708333333333	661.819014297417		Reactome_Pathways_2024
Anchoring Fibril Formation	1/15	0.0126787099336331	0.0750969742222882	0	0	89.1473214285714	389.380440824271	COL4A1	Reactome_Pathways_2024
Crosslinking of Collagen Fibrils	1/18	0.0151962391911868	0.0823082382967226	0	0	73.4044117647059	307.322786835323	COL4A1	Reactome_Pathways_2024
Scavenging by Class A Receptors	1/19	0.0160340723954654	0.0823082382967226	0	0	69.3229166666667	286.514338713971	COL4A1	Reactome_Pathways_2024
Cellular Response to Virus (GO:0098586)	2/65	0.0013705988588533	0.0800152513871656	0	0	42.1587301587302	277.931745242601	EIF5AL1;ZC3H12A	GO_Biological_Process_2025
Cellular Response to Tumor Necrosis Factor (GO:0071356)	2/87	0.00243818283179103	0.0800152513871656	0	0	31.2125490196078	187.790371660763	EIF5AL1;ZC3H12A	GO_Biological_Process_2025
mRNA 3'-Splice Site Recognition (GO:0000389)	1/5	0.00424314398899693	0.0800152513871656	0	0	312.171875	1705.22350136349	SF3A3	GO_Biological_Process_2025
Regulation of miRNA Catabolic Process (GO:2000625)	1/5	0.00424314398899693	0.0800152513871656	0	0	312.171875	1705.22350136349	ZC3H12A	GO_Biological_Process_2025
Amylin Receptor Signaling Pathway (GO:0097647)	1/5	0.00424314398899693	0.0800152513871656	0	0	312.171875	1705.22350136349	RAMP3	GO_Biological_Process_2025
Negative Regulation of T-helper 17 Type Immune Response (GO:2000317)	1/5	0.00424314398899693	0.0800152513871656	0	0	312.171875	1705.22350136349	ZC3H12A	GO_Biological_Process_2025
Regulation of Muscle Organ Development (GO:0048634)	1/6	0.00508974145357057	0.0800152513871656	0	0	249.725	1318.67991590424	SFMBT1	GO_Biological_Process_2025
Regulation of Protein Deubiquitination (GO:0090085)	1/6	0.00508974145357057	0.0800152513871656	0	0	249.725	1318.67991590424	ZC3H12A	GO_Biological_Process_2025
Positive Regulation of cAMP/PKA Signal Transduction (GO:0141163)	1/7	0.00593566199512446	0.0800152513871656	0	0	208.09375	1066.85019229932	RAMP3	GO_Biological_Process_2025
Regulation of Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:1902253)	1/8	0.00678090602009761	0.0800152513871656	0	0	178.357142857143	890.652175215938	EIF5AL1	GO_Biological_Process_2025
Negative Regulation of Nitric Oxide Biosynthetic Process (GO:0045019)	1/8	0.00678090602009761	0.0800152513871656	0	0	178.357142857143	890.652175215938	ZC3H12A	GO_Biological_Process_2025
Negative Regulation of Nitric Oxide Metabolic Process (GO:1904406)	1/8	0.00678090602009761	0.0800152513871656	0	0	178.357142857143	890.652175215938	ZC3H12A	GO_Biological_Process_2025
Calcitonin Family Receptor Signaling Pathway (GO:0097646)	1/9	0.00762547396542654	0.0800152513871656	0	0	156.0546875	760.963355159609	RAMP3	GO_Biological_Process_2025
Positive Regulation of Receptor Recycling (GO:0001921)	1/9	0.00762547396542654	0.0800152513871656	0	0	156.0546875	760.963355159609	RAMP3	GO_Biological_Process_2025
Negative Regulation of T-helper Cell Differentiation (GO:0045623)	1/9	0.00762547396542654	0.0800152513871656	0	0	156.0546875	760.963355159609	ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	4/983	0.00825893520581608	0.0800152513871656	0	0	5.97281370315078	28.6483596820297	EIF5AL1;ZC3H12A;SMAD9;BAZ1B	GO_Biological_Process_2025
Positive Regulation of Lipid Localization (GO:1905954)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	ZC3H12A	GO_Biological_Process_2025
miRNA Catabolic Process (GO:0010587)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	ZC3H12A	GO_Biological_Process_2025
Regulation of T-helper 17 Cell Differentiation (GO:2000319)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	ZC3H12A	GO_Biological_Process_2025
Negative Regulation by Host of Viral Genome Replication (GO:0044828)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	ZC3H12A	GO_Biological_Process_2025
Negative Regulation of T-helper 17 Cell Differentiation (GO:2000320)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	ZC3H12A	GO_Biological_Process_2025
Basement Membrane Organization (GO:0071711)	1/10	0.00846936628057759	0.0800152513871656	0	0	138.708333333333	661.819014297417	COL4A1	GO_Biological_Process_2025
Negative Regulation of Heart Contraction (GO:0045822)	1/11	0.00931258343412884	0.0800152513871656	0	0	124.83125	583.759451394191	ZC3H12A	GO_Biological_Process_2025
Positive Regulation of mRNA Metabolic Process (GO:1903313)	1/11	0.00931258343412884	0.0800152513871656	0	0	124.83125	583.759451394191	ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Execution Phase of Apoptosis (GO:1900119)	1/11	0.00931258343412884	0.0800152513871656	0	0	124.83125	583.759451394191	ZC3H12A	GO_Biological_Process_2025
Cellular Response to Arsenic-Containing Substance (GO:0071243)	1/13	0.0109969941425308	0.0800152513871656	0	0	104.015625	469.124334375642	ZC3H12A	GO_Biological_Process_2025
miRNA Metabolic Process (GO:0010586)	1/14	0.0118381886593293	0.0800152513871656	0	0	96.0096153846154	425.939423953315	ZC3H12A	GO_Biological_Process_2025
Negative Regulation of Muscle Cell Apoptotic Process (GO:0010656)	1/14	0.0118381886593293	0.0800152513871656	0	0	96.0096153846154	425.939423953315	ZC3H12A	GO_Biological_Process_2025
Response to Chemokine (GO:1990868)	1/14	0.0118381886593293	0.0800152513871656	0	0	96.0096153846154	425.939423953315	ZC3H12A	GO_Biological_Process_2025
Negative Regulation by Host of Viral Process (GO:0044793)	1/14	0.0118381886593293	0.0800152513871656	0	0	96.0096153846154	425.939423953315	ZC3H12A	GO_Biological_Process_2025
Regulation of cAMP/PKA Signal Transduction (GO:0141161)	1/14	0.0118381886593293	0.0800152513871656	0	0	96.0096153846154	425.939423953315	RAMP3	GO_Biological_Process_2025
Regulation of Execution Phase of Apoptosis (GO:1900117)	1/15	0.0126787099336331	0.0800152513871656	0	0	89.1473214285714	389.380440824271	ZC3H12A	GO_Biological_Process_2025
