Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Innate Immune System	3/1149	0.000189140822943722	0.00945704114718612	0	0	56553	484829.927978097	TRIM4;TMBIM1;TXN	Reactome_Pathways_2024
Protein Repair	1/6	0.000899753878876759	0.0160479097651076	0	0	1999.2	14021.1678884677	TXN	Reactome_Pathways_2024
Immune System	3/2150	0.00124072358604482	0.0160479097651076	0	0	53550	358359.841511298	TRIM4;TMBIM1;TXN	Reactome_Pathways_2024
Regulation of FOXO Transcriptional Activity by Acetylation	1/10	0.00149929476953185	0.0160479097651076	0	0	1110.44444444444	7220.9541986836	TXN	Reactome_Pathways_2024
NF-kB Activation Through FADD RIP-1 Pathway Mediated by Caspase-8 and -10	1/13	0.00194879387700138	0.0160479097651076	0	0	832.708333333333	5196.5535115997	TRIM4	Reactome_Pathways_2024
The NLRP3 Inflammasome	1/17	0.00254791692627063	0.0160479097651076	0	0	624.40625	3729.25330632509	TXN	Reactome_Pathways_2024
TRAF3-dependent IRF Activation Pathway	1/18	0.00269766032668885	0.0160479097651076	0	0	587.647058823529	3476.15003346063	TRIM4	Reactome_Pathways_2024
NFE2L2 Regulating Anti-Oxidant Detoxification Enzymes	1/19	0.00284738877757407	0.0160479097651076	0	0	554.972222222222	3252.88805695113	TXN	Reactome_Pathways_2024
Inflammasomes	1/25	0.0037454454654532	0.0160479097651076	0	0	416.104166666667	2324.86332492857	TXN	Reactome_Pathways_2024
TRAF6 Mediated NF-kB Activation	1/25	0.0037454454654532	0.0160479097651076	0	0	416.104166666667	2324.86332492857	TRIM4	Reactome_Pathways_2024
Cell Recruitment (Pro-Inflammatory Response)	1/27	0.00404467804622706	0.0160479097651076	0	0	384.057692307692	2116.29358166937	TXN	Reactome_Pathways_2024
Purinergic Signaling in Leishmaniasis Infection	1/27	0.00404467804622706	0.0160479097651076	0	0	384.057692307692	2116.29358166937	TXN	Reactome_Pathways_2024
TRAF6 Mediated IRF7 Activation	1/29	0.00434385079686094	0.0160479097651076	0	0	356.589285714286	1939.48700111416	TRIM4	Reactome_Pathways_2024
Interconversion of Nucleotide Di- and Triphosphates	1/30	0.00449341473423012	0.0160479097651076	0	0	344.275862068966	1860.86004091357	TXN	Reactome_Pathways_2024
Negative Regulators of DDX58 IFIH1 Signaling	1/35	0.00524101004609641	0.0168452632286077	0	0	293.573529411765	1541.62536659043	TRIM4	Reactome_Pathways_2024
Detoxification of Reactive Oxygen Species	1/36	0.00539048423315445	0.0168452632286077	0	0	285.171428571429	1489.48460880267	TXN	Reactome_Pathways_2024
Ovarian Tumor Domain Proteases	1/39	0.00583881704612273	0.0171729913121257	0	0	262.618421052632	1350.70617046735	TRIM4	Reactome_Pathways_2024
Nucleotide-binding Domain, Leucine Rich Repeat Containing Receptor (NLR) Signaling Pathways	1/61	0.00912247837612096	0.0253402177114471	0	0	166.141666666667	780.369694450321	TXN	Reactome_Pathways_2024
FOXO-mediated Transcription	1/67	0.0100167665600723	0.0263599120001902	0	0	150.992424242424	695.092860072288	TXN	Reactome_Pathways_2024
Infectious Disease	2/1311	0.0123189912377852	0.0282474837573315	0	0	28.5530939648587	125.536909948917	TRIM4;TXN	Reactome_Pathways_2024
TP53 Regulates Metabolic Genes	1/86	0.012845130618796	0.0282474837573315	0	0	117.129411764706	510.074047237415	TXN	Reactome_Pathways_2024
DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta	1/86	0.012845130618796	0.0282474837573315	0	0	117.129411764706	510.074047237415	TRIM4	Reactome_Pathways_2024
Nuclear Events Mediated by NFE2L2	1/87	0.0129938425283725	0.0282474837573315	0	0	115.761627906977	502.785126836354	TXN	Reactome_Pathways_2024
Oxidative Stress Induced Senescence	1/94	0.0140344078673636	0.0292383497236742	0	0	107.010752688172	456.533902379078	TXN	Reactome_Pathways_2024
Metabolism of Nucleotides	1/98	0.0146286882376348	0.0292573764752696	0	0	102.577319587629	433.365657403815	TXN	Reactome_Pathways_2024
KEAP1-NFE2L2 Pathway	1/119	0.0177447437885406	0.034124507285655	0	0	84.2330508474576	339.599521408299	TXN	Reactome_Pathways_2024
SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses	1/138	0.0205583666198837	0.0380710492960809	0	0	72.4817518248175	281.554443438429	TRIM4	Reactome_Pathways_2024
Cellular Senescence	1/167	0.0248424781883714	0.0443615681935204	0	0	59.7319277108434	220.72143485852	TXN	Reactome_Pathways_2024
Metabolism of Proteins	2/2067	0.0298246334121221	0.0499938338590101	0	0	17.3675544794189	61.0021561662743	TRIM4;TXN	Reactome_Pathways_2024
Cellular Response to Chemical Stress	1/202	0.0299963003154061	0.0499938338590101	0	0	49.2437810945274	172.682242747347	TXN	Reactome_Pathways_2024
Disease	2/2131	0.0316279631233673	0.0505410519433486	0	0	16.7853452325035	57.9717757937433	TRIM4;TXN	Reactome_Pathways_2024
SARS-CoV-2-host Interactions	1/218	0.0323462732437431	0.0505410519433486	0	0	45.5760368663595	156.383071182878	TRIM4	Reactome_Pathways_2024
Leishmania Infection	1/245	0.036303241530179	0.053387119897322	0	0	40.4774590163934	134.217111374624	TXN	Reactome_Pathways_2024
Parasitic Infection Pathways	1/245	0.036303241530179	0.053387119897322	0	0	40.4774590163934	134.217111374624	TXN	Reactome_Pathways_2024
Deubiquitination	1/268	0.0396654722164473	0.0566649603092105	0	0	36.9475655430712	119.239924556387	TRIM4	Reactome_Pathways_2024
Antigen Processing Ubiquitination & Proteasome Degradation	1/296	0.0437480567180596	0.0607611898861939	0	0	33.3932203389831	104.497674392233	TRIM4	Reactome_Pathways_2024
SARS-CoV-2 Infection	1/313	0.0462211148883305	0.0624609660653114	0	0	31.5464743589744	96.9839114062754	TRIM4	Reactome_Pathways_2024
Transcriptional Regulation by TP53	1/362	0.0533254777958585	0.0701651023629718	0	0	27.196675900277	79.7227326149286	TXN	Reactome_Pathways_2024
Class I MHC Mediated Antigen Processing & Presentation	1/373	0.0549154709819396	0.0704044499768457	0	0	26.377688172043	76.5470003785115	TRIM4	Reactome_Pathways_2024
Neutrophil Degranulation	1/478	0.0700031699074888	0.087503962384361	0	0	20.461215932914	54.4107672846922	TMBIM1	Reactome_Pathways_2024
SARS-CoV Infections	1/498	0.0728586876434066	0.0888520581017153	0	0	19.6177062374245	51.3833533622789	TRIM4	Reactome_Pathways_2024
Fluid shear stress and atherosclerosis	1/139	0.0207063030357184	0.0368885400728529	0	0	71.9528985507246	278.98420614566	TXN	KEGG_2021_Human
NOD-like receptor signaling pathway	1/181	0.0269061917729785	0.0368885400728529	0	0	55.0472222222222	199.017663445995	TXN	KEGG_2021_Human
Salmonella infection	1/249	0.0368885400728529	0.0368885400728529	0	0	39.8165322580645	131.388756907037	TXN	KEGG_2021_Human
Parkinson disease	1/249	0.0368885400728529	0.0368885400728529	0	0	39.8165322580645	131.388756907037	TXN	KEGG_2021_Human
Reactive Oxygen Species Pathway	1/49	0.00733228757304079	0.0146645751460816	0	0	207.802083333333	1021.44443446465	TXN	MSigDB_Hallmark_2020
Glycolysis	1/200	0.0297022864925554	0.0297022864925554	0	0	49.7437185929648	174.925340916176	TXN	MSigDB_Hallmark_2020
